id,price_usd
2265513,184599.73616053167
2265607,72158.69268800083
2265613,102495.20316641137
2265632,121282.74546518843
2265642,124966.07540796709
2265755,147936.51610863497
2265756,134745.6492766401
2265757,124214.17391997474
2265767,180112.1366169353
2265768,180112.1366169353
2265788,166992.09636844
2265790,224664.11812478252
2265791,224664.11812478252
2265793,405940.41286393313
2265794,382853.7459204455
2265795,390393.7731226446
2265798,382853.7459204455
2265799,382853.7459204455
2265800,390393.7731226446
2265801,390393.7731226446
2265804,121948.29437373433
2265805,121948.29437373433
2265851,516799.5415928433
2265853,162363.82171936618
2265857,91114.0575269237
2265931,64886.59920944224
2265932,190550.0875046402
2265936,88039.01019272649
2265937,86989.43011779914
2265938,86989.43011779914
2265946,117339.0748845955
2265957,823458.0463248643
2265980,104979.46111852763
2265983,165784.39061618358
2265984,128875.58995790071
2265988,162465.09566716963
2265989,97275.92700205588
2266156,228206.4980202306
2266158,248027.07817747255
2266159,83686.43609267396
2266455,256807.45453513457
2266945,95967.8827334226
2267074,105945.6187461366
2267075,86554.57913565739
2267251,164392.57921670534
2267255,163218.12993817896
2267257,167800.14001680326
2267260,164554.5336551032
2267261,111403.90973496113
2267262,131894.21191609855
2267315,165042.56268467987
2267349,332088.7661822153
2267609,134759.7073584453
2268145,75169.99423148183
2271716,77768.14331102843
2271717,77886.26024278482
2271736,148845.4747596705
2272103,82329.50425912013
2273270,1012938.4823369511
2273343,160957.2744561686
2274503,107760.80022880559
2274602,489159.6032529824
2274609,121948.29437373433
2274610,121948.29437373433
2274628,138871.54229722702
2274700,161242.63285875387
2274767,120110.94245141529
2274777,412129.55672086036
2274839,450551.5303982736
2274854,142456.3791942325
2274891,93948.58966536236
2298599,1248542.1548137187
2298600,232555.8069398979
2299548,109766.74115731654
2308036,331291.82451822323
2309989,117545.86825709308
2315110,263824.2925354081
2321548,88180.98188304836
2327558,126506.67709477342
2327588,95176.39663444637
2327602,94065.80484718617
2327641,724115.2174691377
2327644,603213.3455437514
2327648,143681.52952538026
2327791,106536.43609390118
2327837,118212.91384276659
2327845,190034.88343193452
2327879,228157.01051079558
2327883,88180.98188304836
2327884,319744.44725517894
2327889,217098.40607316932
2327890,217098.40607316932
2327891,416013.00052168925
2327899,333752.4455864139
2327900,330881.12367141235
2327901,333752.4455864139
2327902,330881.12367141235
2327904,333752.4455864139
2327905,333752.4455864139
2327906,330881.12367141235
2327909,159475.02181989062
2327910,159475.02181989062
2327911,159475.02181989062
2327912,159475.02181989062
2327915,126005.07050940701
2327916,126005.07050940701
2327917,126005.07050940701
2327918,126005.07050940701
2327920,144725.26232267186
2327922,144725.26232267186
2327923,144725.26232267186
2327924,144725.26232267186
2327925,144725.26232267186
2327926,185832.2839678422
2327927,185871.38984173103
2327951,350019.98775256466
2327953,75033.04585549967
2327954,162938.0090691376
2327962,351882.9689172836
2327977,118553.88037565701
2328054,143980.30774444042
2328060,240337.724176987
2328061,235523.1913610293
2328200,111569.90788468704
2328233,101246.35491545379
2328295,236433.85190033537
2328297,172093.28547587965
2328313,130644.44832464385
2328315,252621.41486107017
2328318,139413.5538719153
2328321,263494.4098243096
2328325,387487.55231007386
2328348,226120.536353907
2329581,88180.98188304836
2329582,88180.98188304836
2329583,89517.88922142763
2329584,88180.98188304836
2329585,88180.98188304836
2329586,88180.98188304836
2329587,88180.98188304836
2329588,88180.98188304836
2168405,96615.91183085286
2168434,177880.26193900936
2178613,82216.56492848137
2178614,82216.56492848137
2178664,127052.09402987856
2181308,94221.81642219565
2207357,98721.46654830004
2217072,150136.26546180938
2220020,69447.87212706117
2220033,189907.01483475624
2220038,193747.33811721505
2220040,193747.33811721505
2222565,91767.65852888154
2238750,175228.741185468
2238751,168761.94518092342
2238949,70205.631279996
2239792,369626.65946402546
2239799,374652.73670562234
2239800,276820.63448659383
2242461,174536.45248624464
2242589,274817.32136775454
2242590,274286.49062431173
2242591,274286.49062431173
2242714,186568.4381564826
2274855,95820.22480484724
2274856,111036.40489860867
2327540,181689.08393263628
2327842,133163.08061618236
2328366,131224.03909975168
2328367,219261.3719347881
2178513,84942.05519266633
2267264,214805.07498367198
2238720,123469.53536767427
2265180,170487.9484699914
2265183,133178.989584956
2265542,166555.02183796294
2265729,264289.1880265787
2265733,123986.7961364646
2265734,140999.5308143196
2265789,188472.6101106239
2265809,175347.12136421847
2265813,122269.43949149117
2265830,77753.6402057101
2265831,267150.67406268016
2265833,196213.17451296456
2265834,196213.17451296456
2266121,192676.4848083667
2266839,170345.66915383952
2266845,182011.22267435835
2266848,159463.30857470608
2266856,190172.54010890782
2266857,90430.06131329015
2267334,74653.02035451688
2267336,74653.02035451688
2267337,74653.02035451688
2267350,781842.5303530842
2267367,239209.15108427047
2267475,151569.1112970016
2267504,272560.6743991646
2267515,100797.88519421345
2267516,184662.36945818353
2267533,134835.51923331575
2267544,183550.1929396804
2267547,178641.58841447797
2267668,175810.5730177156
2267672,256746.35680586522
2267677,311915.76048091013
2267705,96027.85135329599
2267792,260941.95166097122
2268160,125666.38873243642
2271721,109031.57394729981
2271977,445021.45049485
2271978,463277.6367871849
2272133,92228.83140688261
2272506,183568.0457315586
2273760,460322.18166711536
2273765,460322.18166711536
2274480,195970.15113296875
2274534,305582.26479346055
2274552,213944.13497431556
2274562,123986.7961364646
2274563,123986.7961364646
2274564,123986.7961364646
2274565,142712.3642303796
2274578,65925.82594086978
2274603,577820.4998172653
2274646,117846.29473706293
2274730,178477.98475991344
2274731,178477.98475991344
2274768,192284.05965244016
2274793,210994.84023687665
2274795,208639.60722783257
2274796,173059.55553352027
2274799,152921.5526081623
2274821,659607.3887891615
2274915,117612.5193410917
2275008,140790.82192990938
2275020,110211.06286922673
2275021,131437.52392650867
2275026,148745.4458266798
2275034,109282.84660154344
2275080,271595.2139923082
2275127,172301.0217384146
2275129,275943.54237744055
2275130,123218.64409229254
2275131,147065.3032415397
2275132,65993.36840066471
2275133,65633.25808609091
2275161,129203.88447881624
2275300,118372.12868716501
2275301,118372.12868716501
2276033,123198.38090959669
2276037,99637.52724875697
2276080,199131.86977846024
2276081,202688.85272335212
2284853,300019.1905611313
2285054,169841.1440213731
2285056,132352.25092999727
2286227,659607.3887891615
2286229,659607.3887891615
2286231,195385.69778607445
2286232,254736.671812769
2286233,194422.89307236104
2286234,195385.69778607445
2286235,666146.3417276829
2286236,248343.9197843931
2289161,1329828.4073751364
2294917,173043.5191974841
2295907,81781.06732474634
2296149,305231.0876382192
2296177,165221.24272685312
2298664,356334.6652798256
2299514,228497.11027921137
2299559,140507.32376431234
2299587,462918.41440177
2299589,471088.17232313
2299592,179092.80046745946
2299593,166790.33402251024
2299594,212186.8275170452
2299596,177040.10652379759
2299597,452693.29411757237
2299599,225983.1125525956
2299604,195343.36633182684
2299608,249417.75210500503
2299610,261956.45696396843
2299628,354260.3550335931
2299650,271481.9684736444
2299654,134661.92448227157
2299699,162235.8173223167
2304972,267516.0883908415
2305194,197329.922438941
2305203,185566.4335599817
